"id","value","count","huc12_name","filename","land_policy","accretion","slr_scenario","yr","acres"
"031001020103",1900,206504.862423345,"Owen Creek","tbcmp_AM_HA_Inter_2050","AM","HA","Inter","2050",204.113949126208
"031001020103",2100,11734556.569278,"Owen Creek","tbcmp_AM_HA_Inter_2050","AM","HA","Inter","2050",11598.6938733189
"031001020103",2200,780760.122371009,"Owen Creek","tbcmp_AM_HA_Inter_2050","AM","HA","Inter","2050",771.720481674197
"031001020103",2400,4892,"Owen Creek","tbcmp_AM_HA_Inter_2050","AM","HA","Inter","2050",4.835360424
"031001020103",3200,1453970.11022768,"Owen Creek","tbcmp_AM_HA_Inter_2050","AM","HA","Inter","2050",1437.13604429146
"031001020103",4100,2388821.86607571,"Owen Creek","tbcmp_AM_HA_Inter_2050","AM","HA","Inter","2050",2361.16408651028
"031001020103",4400,143890,"Owen Creek","tbcmp_AM_HA_Inter_2050","AM","HA","Inter","2050",142.22404158
"031001020103",5200,67563.1073137127,"Owen Creek","tbcmp_AM_HA_Inter_2050","AM","HA","Inter","2050",66.7808616572346
"031001020103",6110,1334900.14423588,"Owen Creek","tbcmp_AM_HA_Inter_2050","AM","HA","Inter","2050",1319.44467036592
"031001020103",6410,1423107.52665855,"Owen Creek","tbcmp_AM_HA_Inter_2050","AM","HA","Inter","2050",1406.6307877149
"031001020104",1100,1163108.61237053,"Maple Creek-Myakka River","tbcmp_AM_HA_Inter_2050","AM","HA","Inter","2050",1149.64214085651
"031001020104",1200,577790.992870635,"Maple Creek-Myakka River","tbcmp_AM_HA_Inter_2050","AM","HA","Inter","2050",571.101328755179
"031001020104",1900,662365.494285262,"Maple Creek-Myakka River","tbcmp_AM_HA_Inter_2050","AM","HA","Inter","2050",654.696626592428
"031001020104",2100,5117690.04941077,"Maple Creek-Myakka River","tbcmp_AM_HA_Inter_2050","AM","HA","Inter","2050",5058.43743401869
"031001020104",2200,2106337.37095125,"Maple Creek-Myakka River","tbcmp_AM_HA_Inter_2050","AM","HA","Inter","2050",2081.95019687037
"031001020104",2400,63836.9869119611,"Maple Creek-Myakka River","tbcmp_AM_HA_Inter_2050","AM","HA","Inter","2050",63.0978822774944
"031001020104",3200,1153459.31085111,"Maple Creek-Myakka River","tbcmp_AM_HA_Inter_2050","AM","HA","Inter","2050",1140.10455895008
"031001020104",4100,1562263.48779948,"Maple Creek-Myakka River","tbcmp_AM_HA_Inter_2050","AM","HA","Inter","2050",1544.17560113774
"031001020104",4400,10757,"Maple Creek-Myakka River","tbcmp_AM_HA_Inter_2050","AM","HA","Inter","2050",10.632455454
"031001020104",5200,65166.7277649903,"Maple Creek-Myakka River","tbcmp_AM_HA_Inter_2050","AM","HA","Inter","2050",64.4122273909272
"031001020104",6110,2136239.85602944,"Maple Creek-Myakka River","tbcmp_AM_HA_Inter_2050","AM","HA","Inter","2050",2111.50647097633
"031001020104",6410,985375.532749769,"Maple Creek-Myakka River","tbcmp_AM_HA_Inter_2050","AM","HA","Inter","2050",973.966854831592
"031001020201",1100,424289.881269683,"Mossy Island Slough","tbcmp_AM_HA_Inter_2050","AM","HA","Inter","2050",419.377453024342
"031001020201",1200,30432.2406444991,"Mossy Island Slough","tbcmp_AM_HA_Inter_2050","AM","HA","Inter","2050",30.0798961623171
"031001020201",1900,139150.288567321,"Mossy Island Slough","tbcmp_AM_HA_Inter_2050","AM","HA","Inter","2050",137.539206526288
"031001020201",2100,2461881.34245078,"Mossy Island Slough","tbcmp_AM_HA_Inter_2050","AM","HA","Inter","2050",2433.37768026788
"031001020201",2200,112713,"Mossy Island Slough","tbcmp_AM_HA_Inter_2050","AM","HA","Inter","2050",111.408008886
"031001020201",3200,4232549.4885187,"Mossy Island Slough","tbcmp_AM_HA_Inter_2050","AM","HA","Inter","2050",4183.54503054063
"031001020201",4100,437167.907849541,"Mossy Island Slough","tbcmp_AM_HA_Inter_2050","AM","HA","Inter","2050",432.106377812459
"031001020201",4400,24481,"Mossy Island Slough","tbcmp_AM_HA_Inter_2050","AM","HA","Inter","2050",24.197558982
"031001020201",5200,14597.9588610893,"Mossy Island Slough","tbcmp_AM_HA_Inter_2050","AM","HA","Inter","2050",14.4289436933956
"031001020201",6110,1077376.84523739,"Mossy Island Slough","tbcmp_AM_HA_Inter_2050","AM","HA","Inter","2050",1064.90297612323
"031001020201",6410,2544273.02642793,"Mossy Island Slough","tbcmp_AM_HA_Inter_2050","AM","HA","Inter","2050",2514.81543332795
"031001020202",1100,5217989.13300506,"Tatum Sawgrass-Myakka River","tbcmp_AM_HA_Inter_2050","AM","HA","Inter","2050",5157.57525482313
"031001020202",1200,158664.264955444,"Tatum Sawgrass-Myakka River","tbcmp_AM_HA_Inter_2050","AM","HA","Inter","2050",156.82725009579
