"id","value","count","acres","land_policy","accretion","slr_scenario","yr"
"Pinellas",5200,8600781.70701331,8501.20185640951,"baseline","baseline","baseline",2025
"Pinellas",5400,323979146.079109,320228.115525805,"baseline","baseline","baseline",2025
"Pinellas",6110,8946477.08157545,8842.89476992497,"baseline","baseline","baseline",2025
"Pinellas",6120,5679674.60427683,5613.91533170851,"baseline","baseline","baseline",2025
"Pinellas",6410,2853438.25179709,2820.40114371778,"baseline","baseline","baseline",2025
"Pinellas",6420,834980.012795132,825.31261420699,"baseline","baseline","baseline",2025
"Pinellas",6510,17141273.4293088,16942.8117655443,"baseline","baseline","baseline",2025
"Pinellas",6600,18214,18.003118308,"baseline","baseline","baseline",2025
"Pinellas",7100,169278.541727192,167.318634771075,"baseline","baseline","baseline",2025
"Pinellas",9113,34303324.4977524,33906.1606067175,"baseline","baseline","baseline",2025
"Sarasota",1100,27479308.3240207,27161.1528922452,"baseline","baseline","baseline",2025
"Sarasota",1200,100749666.396285,99583.1867587492,"baseline","baseline","baseline",2025
"Sarasota",1800,4046107.55020796,3999.26171699165,"baseline","baseline","baseline",2025
"Sarasota",1820,5293425,5232.13772535,"baseline","baseline","baseline",2025
"Sarasota",1900,18782610.2002291,18565.1451393308,"baseline","baseline","baseline",2025
"Sarasota",2100,38381183.8139694,37936.8064677713,"baseline","baseline","baseline",2025
"Sarasota",2200,1372724.98012935,1356.83157030942,"baseline","baseline","baseline",2025
"Sarasota",2400,1123781,1110.769863582,"baseline","baseline","baseline",2025
"Sarasota",3200,33974860.8247675,33581.4998861383,"baseline","baseline","baseline",2025
"Sarasota",4100,55409272.4028076,54767.7438469279,"baseline","baseline","baseline",2025
"Sarasota",4400,810789.623792028,801.402301527764,"baseline","baseline","baseline",2025
"Sarasota",5200,14118808.2617874,13955.3406997324,"baseline","baseline","baseline",2025
"Sarasota",5400,251029662.89034,248123.241453396,"baseline","baseline","baseline",2025
"Sarasota",6110,22304691.8416799,22046.448119537,"baseline","baseline","baseline",2025
"Sarasota",6120,792826.744633943,783.647396584571,"baseline","baseline","baseline",2025
"Sarasota",6410,46939257.184876,46395.7944651895,"baseline","baseline","baseline",2025
"Sarasota",6420,989684.261647188,978.225697265837,"baseline","baseline","baseline",2025
"Sarasota",6510,2733758.770062,2702.10731102222,"baseline","baseline","baseline",2025
"Sarasota",6600,6882,6.802320204,"baseline","baseline","baseline",2025
"Sarasota",9113,5327459.20803097,5265.77788532039,"baseline","baseline","baseline",2025
"Sarasota",NA,0.000136239221319556,1.34661843615118e-07,"baseline","baseline","baseline",2025
