"ID","censusTract","count"
"488","12115000103",10
"489","12115000104",8
"490","12115000200",3
"491","12115000300",1
"492","12115000401",4
"493","12115000405",3
"494","12115000501",17
"495","12115000502",1
"496","12115000503",34
"497","12115000601",6
"498","12115000602",5
"499","12115000700",84
"500","12115000801",8
"501","12115000802",33
"502","12115000900",6
"503","12115001000",2
"504","12115001101",2
"505","12115001102",1
"506","12115001301",5
"507","12115001302",1
"508","12115001303",1
"509","12115001304",8
"510","12115001401",1
"511","12115001402",1
"512","12115001403",2
"513","12115001404",2
"514","12115001503",2
"515","12115001505",13
"516","12115001509",1
"517","12115001601",2
"518","12115001602",6
"519","12115001702",4
"520","12115001703",1
"521","12115001704",2
"522","12115001801",12
"523","12115001803",5
"524","12115001804",11
"525","12115001903",136
"526","12115001904",129
"527","12115001905",44
"528","12115001907",8
"529","12115001908",4
"530","12115001909",115
"531","12115002003",1
"532","12115002004",5
"533","12115002005",2
"534","12115002012",2
"535","12115002016",1
"536","12115002100",3
"537","12115002102",9
"538","12115002201",1
"539","12115002202",9
"540","12115002203",29
"541","12115002204",3
"542","12115002205",48
"543","12115002302",1
"544","12115002304",52
"545","12115002305",6
"546","12115002401",48
"547","12115002507",2
"548","12115002508",19
"549","12115002509",3
"550","12115002601",68
"551","12115002602",1
"552","12115002603",80
"553","12115002604",14
"554","12115002605",23
"555","12115002713",17
"556","12115002714",3
"557","12115002716",3
"558","12115002718",6
"559","12115002721",3
"560","12115002724",3
"561","12115002725",1
"562","12115002726",17
"563","12115002729",1
"564","12115002731",10
"565","12115002732",1
"566","12115002733",2
"567","12115002734",3
"568","12115002740",2
"569","12115002744",2
"570","18151971600",1
"571",NA,145
